,Framework,Lat_Var_Sum_X,Lat_Var_Sum_Y,Lat_Var_Max_X,Lat_Var_Max_Y,Lat_Var_Avg_X,Lat_Var_Avg_Y
0,EDI,3.174449920654297,-3.4842612743377686,1.1921426057815552,-0.07528850436210632,0.6348899602890015,-0.6968522667884827
1,JBW,1.0585228204727173,-2.3266873359680176,0.6386613845825195,1.0701481103897095,0.17642046511173248,-0.3877812325954437
2,NPO,1.485698938369751,-2.4693570137023926,0.6986619234085083,0.9744726419448853,0.2476164847612381,-0.41155949234962463
3,ABW,-6.07630729675293,-5.299798965454102,0.44065049290657043,-0.1573864072561264,-0.7595384120941162,-0.6624748706817627
4,BCT,-6.092883110046387,-5.500155448913574,0.4148474335670471,-0.21706782281398773,-0.7616103887557983,-0.6875194311141968
5,DFT,-6.069783687591553,-5.414384841918945,0.43026629090309143,-0.19036118686199188,-0.7587229609489441,-0.6767981052398682
6,OSO,-2.5290424823760986,-1.2338125705718994,1.077628493309021,0.5474525690078735,-0.28100472688674927,-0.1370902806520462
7,NAB,-4.983245372772217,-3.249666690826416,0.25695011019706726,1.1318955421447754,-0.49832454323768616,-0.3249666690826416
8,PTY,-5.202010631561279,-3.270193576812744,0.2808069586753845,1.1064281463623047,-0.5202010869979858,-0.3270193636417389
9,SBN,-4.972565650939941,-3.44460391998291,0.3394746482372284,1.0384275913238525,-0.4972565770149231,-0.3444603979587555
10,THO,-5.269865036010742,-3.565741777420044,0.2628908157348633,1.0161371231079102,-0.5269864797592163,-0.3565741777420044
11,ATT,-5.18073844909668,-5.697793960571289,1.0954082012176514,1.2863588333129883,-0.43172821402549744,-0.4748161733150482
12,BIK,-5.261377334594727,-5.4984941482543945,1.06459641456604,1.4882373809814453,-0.43844810128211975,-0.4582078456878662
13,CAN,-5.443305969238281,-5.547836780548096,1.038933515548706,1.3976136445999146,-0.45360884070396423,-0.4623197317123413
14,MVY,-5.2890520095825195,-5.671785831451416,1.0509487390518188,1.1943680047988892,-0.44075432419776917,-0.47264882922172546
15,NSI,-5.155823707580566,-5.412607669830322,1.1104588508605957,1.2831083536148071,-0.42965197563171387,-0.45105063915252686
16,SOD,-4.953408718109131,-4.970197677612305,1.155380129814148,1.4018642902374268,-0.41278406977653503,-0.4141831398010254
17,UOE,-5.180683135986328,-5.305309295654297,1.1018341779708862,1.3750779628753662,-0.43172359466552734,-0.4421091079711914
18,ETV,-2.386505365371704,-7.663282871246338,1.1440274715423584,0.7101951837539673,-0.1704646646976471,-0.547377347946167
19,SFE,-2.3568453788757324,-7.692662715911865,1.1586084365844727,0.6880363821983337,-0.1683460921049118,-0.549475908279419
20,ACO,-5.105551719665527,-0.5076349973678589,1.2166310548782349,1.3249377012252808,-0.31909698247909546,-0.03172718733549118
21,AFY,-4.672199249267578,0.07058155536651611,1.239983081817627,1.4828882217407227,-0.29201245307922363,0.004411347210407257
22,ATN,-4.838895797729492,-0.5752890110015869,1.1523679494857788,1.4548816680908203,-0.30243098735809326,-0.03595556318759918
23,BRE,-4.855776786804199,-0.3195514678955078,1.2169150114059448,1.4254246950149536,-0.30348604917526245,-0.01997196674346924
24,GIS,-4.596263885498047,-0.32999491691589355,1.1800131797790527,1.5381085872650146,-0.28726649284362793,-0.020624682307243347
25,JSN,-4.847597122192383,-0.2344576120376587,1.2091431617736816,1.4833531379699707,-0.3029748201370239,-0.014653600752353668
26,LTJ,-5.060853958129883,-0.5481705665588379,1.1739593744277954,1.4428237676620483,-0.3163033723831177,-0.03426066040992737
27,MON,-5.280612945556641,-0.5822116136550903,1.1629739999771118,1.3305245637893677,-0.33003830909729004,-0.036388225853443146
28,OWE,-4.81402063369751,-0.2388119101524353,1.1587238311767578,1.5195528268814087,-0.30087628960609436,-0.014925744384527206
29,YUG,-4.793511390686035,-0.41004252433776855,1.2115778923034668,1.405061960220337,-0.2995944619178772,-0.025627657771110535
30,VET,-7.634222984313965,-9.173725128173828,1.1674268245697021,0.8237582445144653,-0.4490719437599182,-0.5396308898925781
31,LOV,-3.3329567909240723,-0.26734304428100586,0.9026255011558533,1.1712746620178223,-0.18516427278518677,-0.014852391555905342
32,OFF,-3.3501229286193848,-0.7147295475006104,0.8941683769226074,1.0927029848098755,-0.18611794710159302,-0.03970719873905182
33,RRO,-3.34792423248291,-0.4770764708518982,0.896546483039856,1.1174390316009521,-0.18599578738212585,-0.02650424838066101
34,ASV,-3.146294593811035,-5.333800792694092,1.721118450164795,0.6912897825241089,-0.157314732670784,-0.26669004559516907
35,CSV,-3.0493907928466797,-5.382922172546387,1.791874885559082,0.6759554147720337,-0.15246954560279846,-0.2691461145877838
36,JOZ,-3.4297099113464355,-5.389953136444092,1.6745455265045166,0.7066614627838135,-0.17148549854755402,-0.26949766278266907
37,NAT,-3.4442665576934814,-5.443971157073975,1.7086535692214966,0.689860463142395,-0.1722133308649063,-0.27219855785369873
38,PWO,-3.124955654144287,-5.297418594360352,1.7217233180999756,0.6920355558395386,-0.15624777972698212,-0.26487094163894653
39,WEI,-3.2010879516601562,-5.275225639343262,1.6936042308807373,0.705528974533081,-0.16005440056324005,-0.2637612819671631
40,WEN,-2.937276840209961,-5.2254414558410645,1.819837212562561,0.7345501184463501,-0.14686384797096252,-0.2612720727920532
41,AFI,-1.5996034145355225,-6.923110008239746,1.354844570159912,1.0784711837768555,-0.0666501447558403,-0.28846290707588196
42,AHT,-0.4097745418548584,-5.647290229797363,1.5014559030532837,1.1217330694198608,-0.017073938623070717,-0.23530375957489014
